Название_файла;Название_вида
full_table_69_2_even_001.tsv;69_2_even_001
full_table_AAS_even_002.tsv;AAS_even_002
full_table_AE_even_001.tsv;AE_even_001
full_table_ALI_even_001.tsv;ALI_even_001
full_table_MD2_real_001.tsv;MD2_real_001
full_table_NZ_real_001.tsv;NZ_real_001
full_table_OP7_even_003.tsv;OP7_even_003
full_table_OP9_even_016.tsv;OP9_even_016
full_table_SB2_real_001.tsv;SB2_real_001
full_table_SB3_real_001.tsv;SB3_real_001
full_table_tard2crypto_even_combined.tsv;tard2crypto_even_combined
full_table_TB2_real_002.tsv;TB2_real_002
full_table_TB2_real_004.tsv;TB2_real_004
full_table_UNI_eeven_001.tsv;UNI_eeven_001
